,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
79,2024-10-06T12:08:40.597Z,39.0052,25.8344,10.0,4.6,mb,26.0,48.0,0.837,0.91,us,us6000nww7,2024-10-07T07:28:56.784Z,"20 km SSW of Eresós, Greece",earthquake,4.88,1.884,0.165,11.0,reviewed,us,us
80,2024-10-06T11:08:56.917Z,53.2876,-167.0436,47.192,4.5,mwr,53.0,164.0,0.516,0.68,us,us6000nww1,2024-10-06T19:23:54.444Z,"73 km SSW of Unalaska, Alaska",earthquake,5.83,5.639,0.08,15.0,reviewed,us,us
81,2024-10-06T11:05:16.761Z,52.9501,153.5981,441.914,4.1,mb,65.0,165.0,3.054,0.48,us,us6000nww0,2024-10-06T11:56:03.040Z,"255 km NW of Ozernovskiy, Russia",earthquake,18.06,12.454,0.068,58.0,reviewed,us,us
84,2024-10-06T10:19:13.621Z,-40.3183,176.5809,21.42,4.7,mb,35.0,79.0,0.442,1.22,us,us6000nwva,2024-10-07T01:45:01.878Z,"42 km ESE of Dannevirke, New Zealand",earthquake,3.85,4.315,0.167,13.0,reviewed,us,us
85,2024-10-06T10:06:10.693Z,42.2457,144.5047,35.0,4.4,mb,43.0,137.0,1.029,0.54,us,us6000nwv8,2024-10-07T02:05:45.040Z,"81 km S of Kushiro, Japan",earthquake,6.9,1.94,0.093,33.0,reviewed,us,us
87,2024-10-06T08:34:13.638Z,53.3398,-167.0986,57.264,4.7,mb,48.0,163.0,0.473,0.96,us,us6000nwuu,2024-10-06T09:03:39.728Z,"70 km SSW of Unalaska, Alaska",earthquake,4.31,6.148,0.034,263.0,reviewed,us,us
90,2024-10-06T06:13:55.023Z,28.0963,139.7675,419.377,4.7,mb,106.0,31.0,2.365,0.66,us,us6000nwuh,2024-10-06T07:20:30.040Z,"Bonin Islands, Japan region",earthquake,10.14,7.696,0.026,462.0,reviewed,us,us
93,2024-10-06T05:26:36.812Z,12.4167,123.6419,12.022,4.8,mb,46.0,127.0,5.646,0.66,us,us6000nwua,2024-10-06T06:06:17.040Z,"5 km NNE of Masbate, Philippines",earthquake,9.91,3.182,0.097,33.0,reviewed,us,us
95,2024-10-06T03:57:31.888Z,53.1106,-166.9331,25.6,4.1,ml,,,,0.65,ak,ak024cv4lrg5,2024-10-06T19:17:00.911Z,"89 km SSW of Unalaska, Alaska",earthquake,,1.9,,,reviewed,ak,ak
96,2024-10-06T03:33:45.415Z,53.1145,-167.123,51.913,4.1,mb,47.0,165.0,0.559,0.7,us,us6000nwtw,2024-10-06T19:11:37.885Z,"93 km SSW of Unalaska, Alaska",earthquake,6.44,10.098,0.082,43.0,reviewed,us,us
98,2024-10-06T03:26:57.751Z,-33.8077,-72.1083,23.688,4.5,mb,52.0,146.0,0.438,0.77,us,us6000nwtt,2024-10-06T03:50:47.040Z,"52 km WSW of San Antonio, Chile",earthquake,4.64,3.858,0.099,30.0,reviewed,us,us
100,2024-10-06T02:56:53.287Z,51.6388,175.4597,57.119,4.5,mb,72.0,198.0,1.958,0.81,us,us6000nwtm,2024-10-06T03:19:14.040Z,"205 km SE of Attu Station, Alaska",earthquake,13.29,9.77,0.066,67.0,reviewed,us,us
