,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
399,2024-09-27T08:22:03.368Z,-24.0588,-67.0014,203.742,4.3,mb,18.0,95.0,2.6,0.52,us,us7000ngs4,2024-09-27T11:26:22.040Z,"71 km WNW of San Antonio de los Cobres, Argentina",earthquake,6.03,10.7,0.168,10.0,reviewed,us,us
400,2024-09-27T08:17:17.214Z,-21.9705,-68.1872,124.314,4.3,mb,30.0,111.0,0.995,0.78,us,us7000ngs0,2024-09-27T09:11:14.040Z,"82 km S of Ollagüe, Chile",earthquake,4.36,7.619,0.106,25.0,reviewed,us,us
401,2024-09-27T06:35:29.396Z,78.7232,-19.7205,8.799,4.4,mb,43.0,69.0,6.106,0.74,us,us7000ngri,2024-09-27T07:12:43.040Z,eastern Greenland,earthquake,8.77,5.209,0.095,32.0,reviewed,us,us
402,2024-09-27T05:56:45.184Z,-20.8471,-67.4424,181.095,4.3,mb,42.0,92.0,1.751,0.84,us,us7000ngra,2024-09-27T06:52:16.040Z,"77 km WSW of Uyuni, Bolivia",earthquake,7.99,9.102,0.088,37.0,reviewed,us,us
403,2024-09-27T05:40:55.288Z,-7.1974,147.3316,58.397,4.9,mb,45.0,81.0,2.2,1.01,us,us7000ngr9,2024-09-27T06:02:07.040Z,"64 km SE of Lae, Papua New Guinea",earthquake,8.74,7.522,0.076,55.0,reviewed,us,us
405,2024-09-27T04:36:20.269Z,8.9423,40.0832,10.0,4.9,mb,47.0,195.0,3.743,0.67,us,us7000ngr4,2024-09-28T00:28:41.641Z,"10 km WSW of Āwash, Ethiopia",earthquake,13.55,1.957,0.077,53.0,reviewed,us,us
406,2024-09-27T03:39:31.854Z,11.8785,-87.6523,51.404,5.1,mww,70.0,135.0,1.021,0.93,us,us7000ngr0,2024-09-27T13:35:29.040Z,"84 km SW of Corinto, Nicaragua",earthquake,6.64,7.701,0.08,15.0,reviewed,us,us
407,2024-09-27T02:56:30.290Z,17.7735,-96.6811,92.216,4.2,mb,43.0,142.0,1.81,1.23,us,us7000ngqq,2024-09-27T04:58:23.839Z,"6 km SSW of San Pedro Sochiápam, Mexico",earthquake,9.05,12.105,0.051,108.0,reviewed,us,us
408,2024-09-27T02:23:00.695Z,-10.9539,161.4818,10.0,5.3,mww,37.0,101.0,2.133,1.14,us,us7000ngqn,2024-09-27T13:27:09.040Z,"73 km SW of Kirakira, Solomon Islands",earthquake,7.68,1.785,0.098,10.0,reviewed,us,us
410,2024-09-27T01:35:43.856Z,-11.4799,-13.5756,10.0,4.9,mb,26.0,110.0,3.608,0.67,us,us7000ngrc,2024-09-28T21:52:21.040Z,Ascension Island region,earthquake,12.04,1.881,0.112,25.0,reviewed,us,us
411,2024-09-27T01:14:17.360Z,19.635,-68.614,83.0,4.18,md,18.0,210.0,0.67,0.44,pr,pr2024271000,2024-09-27T02:00:12.175Z,"85 km NNE of Miches, Dominican Republic",earthquake,5.34,13.51,0.08,15.0,reviewed,pr,pr
412,2024-09-27T00:32:30.472Z,-17.6849,-178.7441,562.148,4.2,mb,42.0,110.0,3.054,0.74,us,us7000ngqb,2024-09-30T22:28:22.040Z,"209 km ENE of Levuka, Fiji",earthquake,14.01,8.72,0.092,33.0,reviewed,us,us
416,2024-09-26T23:27:42.648Z,8.26,127.3102,10.0,4.7,mb,59.0,109.0,2.084,0.58,us,us7000ngpz,2024-09-30T21:33:29.040Z,"97 km E of Barcelona, Philippines",earthquake,8.68,1.849,0.058,90.0,reviewed,us,us
417,2024-09-26T23:16:59.262Z,-22.9373,-70.4429,35.0,4.4,mb,22.0,161.0,0.582,0.72,us,us7000ngpx,2024-09-30T20:54:26.040Z,"18 km N of Mejillones, Chile",earthquake,3.43,1.973,0.267,4.0,reviewed,us,us
419,2024-09-26T22:02:01.283Z,-41.4806,-86.4253,10.0,5.1,mb,84.0,39.0,10.1,0.92,us,us7000ngpk,2024-09-30T04:37:24.040Z,West Chile Rise,earthquake,4.59,1.785,0.042,183.0,reviewed,us,us
420,2024-09-26T21:33:18.797Z,-18.8475,-178.0902,463.628,4.1,mb,30.0,72.0,3.825,0.78,us,us7000ngpg,2024-09-30T04:08:36.040Z,"287 km ESE of Levuka, Fiji",earthquake,10.17,9.072,0.112,22.0,reviewed,us,us
422,2024-09-26T20:41:59.739Z,-17.6906,-178.7569,560.944,4.3,mb,46.0,41.0,3.419,0.62,us,us7000ngp8,2024-09-27T13:54:38.040Z,"208 km ENE of Levuka, Fiji",earthquake,13.26,8.364,0.089,36.0,reviewed,us,us
423,2024-09-26T19:19:28.811Z,-17.1899,66.5466,10.0,6.3,mww,101.0,29.0,3.949,0.83,us,us7000ngmr,2024-09-27T19:21:59.721Z,Mauritius - Reunion region,earthquake,8.04,1.82,0.052,36.0,reviewed,us,us
424,2024-09-26T19:03:02.951Z,18.1862,-100.4196,70.492,5.0,mb,134.0,158.0,1.636,0.97,us,us7000ngme,2024-09-27T14:37:30.638Z,"4 km NW of San Miguel Totolapan, Mexico",earthquake,5.79,7.299,0.028,414.0,reviewed,us,us
427,2024-09-26T17:05:41.163Z,-5.5283,146.9341,221.09,4.3,mb,29.0,143.0,3.489,0.86,us,us7000ngll,2024-09-26T17:33:10.040Z,"131 km ESE of Madang, Papua New Guinea",earthquake,12.74,8.513,0.113,22.0,reviewed,us,us
432,2024-09-26T11:00:45.704Z,25.723,92.6799,10.0,4.3,mb,25.0,133.0,4.943,1.05,us,us7000ngj5,2024-09-26T19:27:11.917Z,"35 km SSW of Hojāi, India",earthquake,12.21,1.968,0.119,20.0,reviewed,us,us
434,2024-09-26T10:07:16.428Z,-16.7015,-72.1316,89.083,4.5,mb,36.0,142.0,2.381,0.92,us,us7000ngis,2024-09-27T18:39:34.623Z,"23 km SSW of Santa Rita de Siguas, Peru",earthquake,9.52,9.881,0.108,25.0,reviewed,us,us
435,2024-09-26T08:33:10.208Z,19.0024,146.4437,82.666,4.8,mb,75.0,82.0,3.793,0.71,us,us7000ngij,2024-09-26T09:04:31.040Z,Mariana Islands region,earthquake,9.99,7.022,0.039,205.0,reviewed,us,us
437,2024-09-26T07:54:30.564Z,12.2866,-88.1028,48.082,4.7,mb,98.0,157.0,1.195,0.96,us,us7000ngi9,2024-09-26T08:15:19.040Z,"87 km SW of Jiquilillo, Nicaragua",earthquake,6.88,5.346,0.044,160.0,reviewed,us,us
439,2024-09-26T07:01:10.361Z,42.8149,145.0395,57.887,5.5,mww,133.0,36.0,1.607,0.77,us,us7000ngi1,2024-10-07T19:36:45.676Z,"28 km SSE of Akkeshi, Japan",earthquake,7.74,5.557,0.071,19.0,reviewed,us,us
442,2024-09-26T03:47:32.705Z,-23.4571,-67.0398,253.429,4.2,mb,24.0,104.0,2.449,0.46,us,us7000nghc,2024-09-26T04:04:29.040Z,"111 km NW of San Antonio de los Cobres, Argentina",earthquake,10.95,16.787,0.215,6.0,reviewed,us,us
446,2024-09-26T01:40:51.456Z,27.6668,143.0956,10.0,4.8,mb,69.0,117.0,0.99,0.54,us,us7000nggx,2024-09-26T01:59:34.040Z,"Bonin Islands, Japan region",earthquake,4.04,1.879,0.051,119.0,reviewed,us,us
447,2024-09-26T01:17:15.877Z,0.541,99.7294,140.174,4.6,mb,64.0,140.0,2.283,0.82,us,us7000nggw,2024-09-26T01:35:43.040Z,"105 km SSE of Padangsidempuan, Indonesia",earthquake,7.72,7.891,0.079,48.0,reviewed,us,us
449,2024-09-25T23:24:16.311Z,14.1382,-93.4043,10.0,4.1,mb,28.0,204.0,2.457,1.02,us,us7000nggp,2024-09-26T05:23:52.337Z,"124 km WSW of Puerto Madero, Mexico",earthquake,8.21,1.94,0.091,33.0,reviewed,us,us
454,2024-09-25T21:12:29.614Z,-28.5022,-69.4005,101.697,4.4,mwr,44.0,49.0,1.249,1.19,us,us7000ngg1,2024-09-25T21:41:47.040Z,"120 km WNW of Vinchina, Argentina",earthquake,6.79,6.946,0.065,23.0,reviewed,us,us
455,2024-09-25T21:10:39.972Z,-21.6459,169.2794,10.0,4.7,mb,45.0,93.0,1.953,0.58,us,us7000ngg2,2024-09-25T23:38:36.040Z,"145 km E of Tadine, New Caledonia",earthquake,5.09,1.88,0.079,49.0,reviewed,us,us
456,2024-09-25T20:42:17.303Z,-15.2828,168.076,10.0,4.6,mb,26.0,129.0,6.36,1.01,us,us7000ngeh,2024-09-25T21:20:46.040Z,"101 km ENE of Luganville, Vanuatu",earthquake,9.87,1.797,0.122,20.0,reviewed,us,us
457,2024-09-25T18:01:48.210Z,55.4199,163.7421,10.0,4.1,mb,46.0,85.0,3.833,0.48,us,us7000ng7k,2024-09-25T20:44:00.040Z,"119 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,6.67,1.832,0.091,33.0,reviewed,us,us
459,2024-09-25T16:17:53.928Z,3.5043,126.9636,48.542,4.6,mb,51.0,78.0,2.744,0.79,us,us7000ng70,2024-09-27T04:25:54.040Z,"228 km NNW of Tobelo, Indonesia",earthquake,8.76,7.582,0.086,40.0,reviewed,us,us
460,2024-09-25T14:28:00.004Z,32.4583,70.2083,10.0,4.3,mb,25.0,183.0,2.832,0.59,us,us7000ng5l,2024-10-01T07:33:59.040Z,"26 km SSW of Gulishah Kach, Pakistan",earthquake,7.01,1.972,0.142,15.0,reviewed,us,us
461,2024-09-25T14:01:05.268Z,-57.732,-6.9053,10.0,5.3,mb,34.0,78.0,14.098,0.73,us,us7000ng5k,2024-09-25T14:19:48.040Z,southern Mid-Atlantic Ridge,earthquake,10.04,1.539,0.083,49.0,reviewed,us,us
463,2024-09-25T13:11:41.376Z,-17.4734,167.8616,47.047,4.7,mb,30.0,184.0,4.562,0.67,us,us7000ng5d,2024-09-25T19:27:08.853Z,"56 km WNW of Port-Vila, Vanuatu",earthquake,5.91,7.468,0.118,22.0,reviewed,us,us
464,2024-09-25T13:02:14.144Z,27.905,131.5628,10.0,4.6,mb,68.0,83.0,2.099,0.75,us,us7000ng5a,2024-10-01T12:57:29.040Z,"201 km ESE of Tatsugō, Japan",earthquake,5.9,1.838,0.081,46.0,reviewed,us,us
466,2024-09-25T11:50:04.359Z,38.2304,42.5891,10.0,4.6,mb,85.0,86.0,0.378,0.55,us,us7000ng4v,2024-09-25T12:13:32.040Z,"14 km E of Hizan, Turkey",earthquake,4.97,1.885,0.07,61.0,reviewed,us,us
472,2024-09-25T06:43:21.986Z,14.4106,-93.1275,10.0,5.3,mww,92.0,130.0,2.091,1.49,us,us7000ng3m,2024-09-26T07:00:09.861Z,"83 km WSW of Puerto Madero, Mexico",earthquake,7.04,1.835,0.046,46.0,reviewed,us,us
474,2024-09-25T02:11:35.854Z,14.3305,-93.1849,10.0,4.5,mb,46.0,191.0,1.593,0.86,us,us7000ng2u,2024-09-30T03:51:52.040Z,"92 km WSW of Puerto Madero, Mexico",earthquake,10.48,1.984,0.042,163.0,reviewed,us,us
475,2024-09-25T02:04:21.844Z,-11.2636,162.1131,10.0,4.6,mb,32.0,116.0,2.798,0.8,us,us7000ng2t,2024-09-30T03:44:24.040Z,"91 km SSE of Kirakira, Solomon Islands",earthquake,10.53,1.893,0.117,27.0,reviewed,us,us
476,2024-09-25T01:57:28.855Z,-21.1791,-70.3438,68.075,4.4,mb,29.0,112.0,0.399,0.94,us,us7000ng2s,2024-09-30T03:38:22.958Z,"101 km SSW of La Tirana, Chile",earthquake,6.27,4.983,0.134,17.0,reviewed,us,us
478,2024-09-24T22:18:33.009Z,-37.1743,-74.4487,10.0,4.3,mb,33.0,200.0,2.595,0.75,us,us7000ng1m,2024-09-24T22:45:20.040Z,"85 km NW of Lebu, Chile",earthquake,7.99,1.988,0.216,6.0,reviewed,us,us
479,2024-09-24T21:58:08.968Z,-16.8608,-176.9431,10.0,5.1,mb,77.0,50.0,2.781,1.02,us,us7000ng1k,2024-09-24T22:20:30.040Z,Fiji region,earthquake,7.67,1.799,0.037,239.0,reviewed,us,us
482,2024-09-24T17:07:41.463Z,41.5856,143.2815,45.978,4.5,mb,44.0,102.0,0.439,0.62,us,us7000nfz4,2024-09-24T19:35:09.040Z,"67 km SSE of Honchō, Japan",earthquake,7.23,5.733,0.089,37.0,reviewed,us,us
483,2024-09-24T14:24:26.960Z,-25.8787,-71.0032,53.668,5.2,mww,188.0,43.0,0.452,0.87,us,us6000nu2l,2024-09-27T18:09:28.185Z,"73 km SW of Taltal, Chile",earthquake,6.15,3.731,0.057,30.0,reviewed,us,us
484,2024-09-24T13:32:03.987Z,-56.4084,-27.7737,68.717,4.6,mb,23.0,126.0,5.409,0.69,us,us6000nu2f,2024-09-24T18:52:24.040Z,South Sandwich Islands region,earthquake,19.81,11.328,0.172,10.0,reviewed,us,us
485,2024-09-24T10:58:37.018Z,-4.3619,143.1211,84.354,5.0,mb,51.0,68.0,3.032,0.57,us,us6000nu21,2024-09-24T11:16:05.040Z,"37 km ESE of Ambunti, Papua New Guinea",earthquake,8.23,8.433,0.077,55.0,reviewed,us,us
486,2024-09-24T10:37:50.067Z,21.1143,94.985,127.9,4.6,mb,101.0,63.0,4.568,0.49,us,us6000nu1v,2024-09-24T13:24:50.040Z,"26 km SSW of Pakokku, Myanmar",earthquake,3.08,7.011,0.058,89.0,reviewed,us,us
487,2024-09-24T09:24:25.235Z,12.6377,93.5662,97.537,4.6,mb,54.0,67.0,5.678,0.68,us,us6000nu1i,2024-09-24T13:45:47.040Z,"138 km NE of Bamboo Flat, India",earthquake,10.7,2.82,0.084,43.0,reviewed,us,us
492,2024-09-24T06:59:45.131Z,-25.4537,-115.954,10.0,4.8,mb,77.0,163.0,6.171,0.8,us,us6000nu14,2024-09-24T07:48:18.040Z,southern East Pacific Rise,earthquake,14.66,1.927,0.042,178.0,reviewed,us,us
494,2024-09-24T06:00:53.328Z,31.3961,140.0063,62.992,4.6,mb,40.0,134.0,4.664,0.89,us,us6000nu0y,2024-09-24T06:34:59.040Z,"Izu Islands, Japan region",earthquake,11.04,8.591,0.105,27.0,reviewed,us,us
500,2024-09-24T00:58:45.603Z,-31.363,-65.6286,145.195,5.0,mww,90.0,43.0,2.618,0.78,us,us6000ntzv,2024-09-24T01:45:49.884Z,"51 km W of Salsacate, Argentina",earthquake,7.82,6.019,0.068,21.0,reviewed,us,us
501,2024-09-24T00:38:04.974Z,29.6915,130.6911,37.743,4.6,mb,55.0,64.0,1.823,0.72,us,us6000ntzs,2024-09-24T00:55:09.040Z,"62 km SSE of Koshima, Japan",earthquake,7.85,7.341,0.074,55.0,reviewed,us,us
505,2024-09-23T23:41:10.246Z,19.6376,120.5083,15.995,4.5,mb,41.0,114.0,3.209,0.69,us,us6000ntzi,2024-09-23T23:57:11.040Z,"122 km NNW of Pagudpud, Philippines",earthquake,8.26,3.026,0.1,29.0,reviewed,us,us
506,2024-09-23T23:14:19.526Z,31.5463,140.0638,11.71,5.6,mww,110.0,86.0,1.579,1.07,us,us6000ntz9,2024-10-07T19:54:32.449Z,"Izu Islands, Japan region",earthquake,7.31,4.231,0.053,34.0,reviewed,us,us
509,2024-09-23T21:14:33.850Z,-36.6636,177.4402,196.783,4.3,mb,19.0,205.0,1.133,0.88,us,us6000ntyt,2024-09-23T21:57:51.040Z,"128 km NW of Hicks Bay, New Zealand",earthquake,10.39,8.443,0.168,10.0,reviewed,us,us
510,2024-09-23T20:45:23.119Z,-4.6309,102.6663,62.263,4.8,mb,56.0,133.0,0.394,0.59,us,us6000ntyq,2024-10-05T14:29:31.040Z,"92 km SW of Pagar Alam, Indonesia",earthquake,7.19,5.564,0.074,57.0,reviewed,us,us
513,2024-09-23T19:51:02.613Z,-0.1045,122.844,143.0,6.0,mww,115.0,21.0,0.934,1.01,us,us6000ntxc,2024-10-07T18:30:00.477Z,"75 km SSW of Gorontalo, Indonesia",earthquake,6.82,1.911,0.037,72.0,reviewed,us,us
514,2024-09-23T19:39:07.284Z,7.9612,127.2578,10.0,4.2,mb,31.0,131.0,1.885,0.52,us,us7000ngul,2024-10-05T12:57:52.040Z,"83 km ENE of Kinablangan, Philippines",earthquake,8.25,1.92,0.128,17.0,reviewed,us,us
515,2024-09-23T19:08:46.299Z,-32.8496,179.7443,193.229,4.9,mww,59.0,53.0,4.099,0.79,us,us6000ntwy,2024-10-05T14:11:03.040Z,south of the Kermadec Islands,earthquake,8.72,6.207,0.086,13.0,reviewed,us,us
516,2024-09-23T19:03:59.562Z,20.7407,89.4934,10.0,4.2,mb,29.0,171.0,8.009,0.83,us,us7000nguk,2024-10-05T12:41:34.040Z,"173 km SSE of Gosāba, India",earthquake,8.87,1.785,0.121,19.0,reviewed,us,us
517,2024-09-23T17:59:13.585Z,16.3389,-61.9901,144.312,4.4,mb,69.0,34.0,0.454,0.74,us,us6000ntwl,2024-10-05T14:02:31.040Z,"24 km WNW of Pointe-Noire, Guadeloupe",earthquake,6.02,3.865,0.061,79.0,reviewed,us,us
518,2024-09-23T17:52:22.508Z,11.8755,143.5716,10.0,4.5,mb,42.0,117.0,2.122,0.47,us,us7000nguj,2024-10-05T14:46:06.040Z,"194 km SW of Merizo Village, Guam",earthquake,10.53,1.139,0.093,34.0,reviewed,us,us
519,2024-09-23T16:24:20.011Z,-2.3093,100.7892,75.227,4.4,mb,30.0,184.0,2.971,0.88,us,us7000nguh,2024-09-30T19:38:36.040Z,"72 km WSW of Sungai Penuh, Indonesia",earthquake,10.18,7.608,0.139,15.0,reviewed,us,us
520,2024-09-23T16:19:10.583Z,-10.6276,113.3531,10.0,4.4,mb,27.0,94.0,2.284,0.75,us,us6000ntwa,2024-09-30T19:31:10.040Z,"259 km S of Kencong, Indonesia",earthquake,5.29,1.919,0.134,16.0,reviewed,us,us
522,2024-09-23T14:40:34.376Z,-2.4687,-77.7983,120.537,4.2,mb,42.0,97.0,0.995,0.66,us,us6000ntv6,2024-09-30T19:13:40.040Z,"39 km ESE of Macas, Ecuador",earthquake,7.92,6.97,0.121,21.0,reviewed,us,us
523,2024-09-23T14:37:49.603Z,13.5755,-90.873,23.312,4.1,mb,24.0,229.0,1.018,0.58,us,us6000ntv4,2024-09-30T19:01:36.040Z,"39 km S of Puerto San José, Guatemala",earthquake,7.4,13.35,0.127,17.0,reviewed,us,us
526,2024-09-23T12:50:10.284Z,30.0396,141.9109,28.977,4.7,mb,31.0,122.0,2.943,0.37,us,us6000ntut,2024-10-06T05:21:44.040Z,"Izu Islands, Japan region",earthquake,11.49,6.535,0.102,29.0,reviewed,us,us
530,2024-09-23T11:20:22.419Z,41.4242,84.0677,10.0,4.5,mb,29.0,119.0,3.891,0.96,us,us6000ntua,2024-10-07T05:50:54.040Z,"100 km ESE of Kuqa, China",earthquake,9.9,1.832,0.181,9.0,reviewed,us,us
531,2024-09-23T11:08:39.999Z,18.7641,146.8267,69.878,4.1,mb,13.0,60.0,3.642,0.93,us,us7000ngug,2024-10-07T06:32:52.040Z,"Pagan region, Northern Mariana Islands",earthquake,9.34,7.474,0.175,11.0,reviewed,us,us
535,2024-09-23T09:03:55.397Z,36.4543,139.7735,91.864,4.4,mb,23.0,134.0,1.268,0.89,us,us7000ngue,2024-09-30T11:49:52.040Z,"4 km NNW of Mibu, Japan",earthquake,7.19,8.814,0.24,5.0,reviewed,us,us
537,2024-09-23T08:17:01.076Z,-8.8806,158.0934,10.0,4.5,mb,33.0,84.0,1.913,0.59,us,us6000nttm,2024-09-23T14:13:06.040Z,"162 km ESE of Gizo, Solomon Islands",earthquake,9.55,1.885,0.109,27.0,reviewed,us,us
538,2024-09-23T08:02:22.913Z,-22.0682,-65.9221,258.522,4.1,mb,46.0,63.0,3.094,0.99,us,us6000ntti,2024-09-24T06:31:21.040Z,"33 km W of Villazón, Bolivia",earthquake,8.86,10.049,0.127,17.0,reviewed,us,us
541,2024-09-23T06:53:48.404Z,43.6589,145.9943,97.282,4.5,mb,108.0,125.0,2.501,0.53,us,us6000ntt8,2024-09-23T07:53:04.040Z,"42 km SSE of Yuzhno-Kurilsk, Russia",earthquake,7.81,6.66,0.051,115.0,reviewed,us,us
543,2024-09-23T05:08:32.347Z,73.2192,6.4164,10.0,5.0,mb,98.0,33.0,5.552,0.8,us,us6000ntsy,2024-09-23T23:47:54.745Z,Greenland Sea,earthquake,4.3,1.881,0.046,148.0,reviewed,us,us
544,2024-09-23T04:27:50.417Z,-9.8711,159.4831,10.0,4.5,mb,17.0,132.0,0.628,0.48,us,us6000ntsw,2024-09-23T05:09:36.483Z,"32 km SW of Malango, Solomon Islands",earthquake,8.66,1.973,0.14,15.0,reviewed,us,us
546,2024-09-23T03:07:40.427Z,-25.8545,179.6887,550.155,4.9,mb,29.0,130.0,4.003,0.65,us,us6000ntsp,2024-09-23T05:17:26.040Z,south of the Fiji Islands,earthquake,14.13,12.815,0.096,34.0,reviewed,us,us
547,2024-09-23T02:47:49.838Z,-7.7107,147.147,10.0,4.7,mb,37.0,40.0,1.683,0.68,us,us6000ntsm,2024-09-23T04:23:46.040Z,"62 km SE of Wau, Papua New Guinea",earthquake,4.83,1.848,0.123,20.0,reviewed,us,us
548,2024-09-23T02:36:39.638Z,-29.716,-71.1656,66.367,5.4,mww,113.0,63.0,0.212,0.63,us,us6000ntsj,2024-10-07T20:03:45.337Z,"22 km NNE of La Serena, Chile",earthquake,5.61,1.2,0.051,37.0,reviewed,us,us
549,2024-09-23T02:14:52.087Z,-21.5378,-179.0409,584.27,4.4,mb,49.0,84.0,3.595,0.94,us,us6000ntsh,2024-09-23T02:34:01.040Z,Fiji region,earthquake,13.15,9.366,0.083,42.0,reviewed,us,us
551,2024-09-22T23:11:05.719Z,-20.5863,-178.165,535.243,4.7,mb,70.0,73.0,2.829,0.88,us,us6000ntrk,2024-09-22T23:27:01.040Z,Fiji region,earthquake,11.37,8.204,0.045,150.0,reviewed,us,us
552,2024-09-22T20:54:08.495Z,-12.0138,166.3965,35.0,4.4,mb,34.0,154.0,6.834,0.78,us,us7000nglb,2024-09-29T14:34:51.040Z,"156 km SSE of Lata, Solomon Islands",earthquake,11.34,1.932,0.105,26.0,reviewed,us,us
553,2024-09-22T20:42:35.850Z,-17.3948,66.5546,10.0,5.4,mww,80.0,44.0,3.826,0.53,us,us6000ntr4,2024-10-04T16:34:48.573Z,Mauritius - Reunion region,earthquake,7.37,1.737,0.073,18.0,reviewed,us,us
555,2024-09-22T20:13:43.928Z,-14.9991,-173.7841,35.0,4.5,mb,23.0,100.0,2.221,1.03,us,us7000ngl9,2024-09-29T14:19:19.040Z,"105 km N of Hihifo, Tonga",earthquake,13.7,1.917,0.15,13.0,reviewed,us,us
556,2024-09-22T19:48:13.423Z,13.2698,-89.5209,71.265,4.4,mb,34.0,176.0,0.388,0.52,us,us6000ntqm,2024-10-04T16:28:28.330Z,"32 km SW of La Libertad, El Salvador",earthquake,6.5,8.109,0.088,37.0,reviewed,us,us
557,2024-09-22T19:42:33.583Z,-19.5079,-66.678,257.208,4.9,mww,67.0,43.0,2.414,0.93,us,us6000ntqk,2024-10-04T16:20:38.040Z,"67 km S of Challapata, Bolivia",earthquake,7.07,5.9,0.071,19.0,reviewed,us,us
559,2024-09-22T18:54:03.779Z,19.622,145.377,10.0,4.2,mb,20.0,147.0,4.375,0.44,us,us7000nglc,2024-09-29T14:51:32.040Z,"Maug Islands region, Northern Mariana Islands",earthquake,11.78,1.924,0.153,12.0,reviewed,us,us
560,2024-09-22T18:46:38.394Z,-32.0284,-71.5608,53.804,5.0,mwr,84.0,69.0,0.498,0.69,us,us6000ntqb,2024-10-04T13:39:13.911Z,"56 km NNW of La Ligua, Chile",earthquake,4.7,5.156,0.045,48.0,reviewed,us,us
561,2024-09-22T18:36:58.877Z,55.2182,-35.238,10.0,4.3,mb,71.0,114.0,9.078,0.44,us,us7000ngl3,2024-09-29T13:34:52.040Z,Reykjanes Ridge,earthquake,8.9,1.888,0.069,60.0,reviewed,us,us
562,2024-09-22T18:27:44.805Z,37.8042,21.8729,17.0,4.2,mwr,66.0,51.0,0.626,0.59,us,us6000ntq7,2024-09-29T17:15:55.040Z,"17 km NE of Lálas, Greece",earthquake,5.0,4.046,0.068,21.0,reviewed,us,us
564,2024-09-22T17:25:56.116Z,13.0838,145.0907,60.791,4.2,mb,28.0,143.0,0.547,0.53,us,us7000ngl0,2024-09-29T13:08:47.040Z,"42 km ESE of Inarajan Village, Guam",earthquake,4.96,7.5,0.128,17.0,reviewed,us,us
568,2024-09-22T14:19:44.602Z,-56.2016,-26.5802,48.628,4.4,mb,18.0,124.0,5.984,1.08,us,us7000ngl4,2024-09-27T16:23:08.040Z,South Sandwich Islands region,earthquake,15.31,7.224,0.139,15.0,reviewed,us,us
569,2024-09-22T13:10:00.030Z,18.5245,-68.9005,112.0,4.24,md,24.0,160.0,0.5192,0.4,pr,pr2024266001,2024-09-27T16:25:03.040Z,"10 km SE of Guaymate, Dominican Republic",earthquake,1.69,1.35,0.31,20.0,reviewed,pr,pr
570,2024-09-22T13:02:53.900Z,14.5232,55.6979,10.0,4.3,mb,32.0,98.0,10.379,0.75,us,us7000ngky,2024-09-27T16:29:13.040Z,"275 km NE of Hadibu, Yemen",earthquake,12.25,1.919,0.113,22.0,reviewed,us,us
571,2024-09-22T12:43:35.055Z,37.7656,57.4138,10.0,4.8,mb,83.0,103.0,0.58,1.08,us,us6000ntp4,2024-10-01T12:24:01.040Z,"33 km NNE of Bojnūrd, Iran",earthquake,8.37,1.889,0.067,73.0,reviewed,us,us
572,2024-09-22T12:37:55.006Z,21.617,143.0314,297.567,4.2,mb,28.0,116.0,5.509,0.73,us,us7000ngkv,2024-10-01T11:55:35.040Z,Mariana Islands region,earthquake,12.75,9.398,0.127,19.0,reviewed,us,us
574,2024-09-22T12:23:14.854Z,44.5285,17.63,14.197,4.6,mb,66.0,25.0,0.387,0.86,us,us6000ntnz,2024-10-01T11:38:17.040Z,"8 km ESE of Maslovare, Bosnia and Herzegovina",earthquake,1.8,4.639,0.092,35.0,reviewed,us,us
577,2024-09-22T11:29:29.368Z,-6.7904,153.725,45.385,4.3,mb,17.0,151.0,7.0,1.11,us,us7000ngkt,2024-10-01T11:26:23.040Z,"201 km WSW of Panguna, Papua New Guinea",earthquake,9.93,7.237,0.138,15.0,reviewed,us,us
579,2024-09-22T10:57:36.722Z,-31.8874,-67.0955,119.95,4.5,mb,52.0,43.0,1.396,0.63,us,us6000ntnn,2024-10-01T11:03:29.040Z,"105 km NW of Villa General Roca, Argentina",earthquake,8.03,7.504,0.115,22.0,reviewed,us,us
585,2024-09-22T09:50:25.984Z,40.2978,24.2426,10.0,4.8,mb,103.0,31.0,2.341,0.8,us,us6000ntn7,2024-10-01T10:53:50.058Z,"4 km N of Karyes, Greece",earthquake,5.32,1.769,0.062,80.0,reviewed,us,us
588,2024-09-22T09:14:14.443Z,-18.0018,-177.9202,489.421,4.2,mb,29.0,113.0,3.678,0.59,us,us7000ngks,2024-10-01T10:01:13.040Z,"292 km E of Levuka, Fiji",earthquake,15.47,9.775,0.112,22.0,reviewed,us,us
590,2024-09-22T08:47:25.717Z,40.3593,24.248,11.548,4.3,mb,35.0,78.0,2.346,0.87,us,us6000ntmy,2024-09-22T10:23:53.705Z,"11 km N of Karyes, Greece",earthquake,6.92,5.206,0.116,21.0,reviewed,us,us
591,2024-09-22T08:43:08.789Z,-41.2829,-87.9373,10.0,5.3,mww,64.0,96.0,10.508,1.31,us,us6000ntmw,2024-09-22T09:30:01.040Z,West Chile Rise,earthquake,10.86,1.873,0.062,25.0,reviewed,us,us
592,2024-09-22T08:22:45.914Z,5.7247,126.9841,133.14,4.4,mb,34.0,115.0,1.933,0.58,us,us6000ntmt,2024-09-22T08:44:38.040Z,"113 km SE of Pondaguitan, Philippines",earthquake,8.1,6.984,0.105,26.0,reviewed,us,us
