time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-08T05:50:08.747Z,63.9652,-149.5955,138.5,2.8,ml,,,,0.22,ak,ak024cygts04,2024-10-08T07:36:04.040Z,"24 km WSW of Ferry, Alaska",earthquake,,0.9,,,automatic,ak,ak
2024-10-08T04:21:52.505Z,-14.2725,-72.8475,103.485,4.2,mb,12,138,4.505,1.33,us,us6000nx7t,2024-10-08T04:44:59.040Z,"9 km NE of Huaquirca, Peru",earthquake,11.84,13.835,0.152,12,reviewed,us,us
2024-10-08T01:28:29.194Z,2.3297,126.9413,35,4.7,mb,38,79,1.605,0.61,us,us6000nx76,2024-10-08T02:14:38.040Z,"136 km WNW of Tobelo, Indonesia",earthquake,8.66,1.909,0.096,33,reviewed,us,us
2024-10-08T01:27:17.581Z,-33.4385,-178.2894,10,4.7,mb,15,204,4.175,0.97,us,us6000nx73,2024-10-08T01:58:40.040Z,"south of the Kermadec Islands",earthquake,7.27,2.006,0.143,15,reviewed,us,us
2024-10-08T01:23:11.619Z,-6.9792,126.4789,406.845,4.4,mb,23,52,4.192,0.64,us,us6000nx70,2024-10-08T02:20:57.040Z,"165 km N of Baukau, Timor Leste",earthquake,8.17,9.34,0.123,19,reviewed,us,us
2024-10-08T00:35:35.838Z,-36.2784,-99.2002,10,5.7,mww,86,63,12.548,0.85,us,us6000nx6t,2024-10-08T02:38:15.107Z,"southeast of Easter Island",earthquake,12.12,1.878,0.052,36,reviewed,us,us
2024-10-07T23:59:04.806Z,-33.4979,-178.5577,10,5.8,mww,57,70,4.258,1.44,us,us6000nx6d,2024-10-08T02:02:35.698Z,"south of the Kermadec Islands",earthquake,9.29,1.862,0.071,19,reviewed,us,us
2024-10-07T22:30:31.152Z,51.0089,-176.1237,10,3.1,ml,,,,0.8,ak,ak024cx3ajq9,2024-10-08T01:33:39.150Z,"102 km SSE of Adak, Alaska",earthquake,,1,,,reviewed,ak,ak
2024-10-07T22:18:11.920Z,18.1926666666667,-67.3415,16.88,2.84,md,13,256,0.1684,0.19,pr,pr71462043,2024-10-07T22:38:45.530Z,"17 km SW of Stella, Puerto Rico",earthquake,0.69,0.72,0.16782412956574,8,reviewed,pr,pr
2024-10-07T21:28:13.290Z,19.2888333333333,-65.1911666666667,36.56,2.85,md,9,290,0.9576,0.66,pr,pr71462033,2024-10-07T22:20:55.990Z,"108 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.51,31.61,0.190953533392934,4,reviewed,pr,pr
2024-10-07T21:06:57.038Z,51.2824,-176.2315,47.23,4.4,mb,69,151,0.664,0.62,us,us6000nx5b,2024-10-08T01:21:37.706Z,"71 km SSE of Adak, Alaska",earthquake,5.2,7.227,0.064,71,reviewed,us,us
2024-10-07T20:54:12.654Z,51.1395,-176.1618,19.9,4.3,ml,,,,0.68,ak,ak024cx28n72,2024-10-08T01:15:53.661Z,"88 km SSE of Adak, Alaska",earthquake,,1,,,reviewed,ak,ak
2024-10-07T20:20:25.870Z,7.3985,126.1923,10,4.9,mb,35,107,0.691,0.46,us,us6000nx4s,2024-10-08T10:43:01.651Z,"23 km SSE of Bantacan, Philippines",earthquake,9.29,1.874,0.114,24,reviewed,us,us
2024-10-07T20:07:13.931Z,64.1912,-153.7161,4.3,2.5,ml,,,,0.5,ak,ak024cx1ypy9,2024-10-07T20:23:46.040Z,"76 km WNW of Lake Minchumina, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-10-07T17:46:52.832Z,21.5665,143.0017,311.915,4.2,mb,50,99,5.555,0.55,us,us6000nx40,2024-10-07T18:07:36.040Z,"Mariana Islands region",earthquake,10.91,8.286,0.084,40,reviewed,us,us
2024-10-07T15:43:38.770Z,40.2458343505859,-124.529998779297,16.8799991607666,2.57,md,11,290,0.1496,0.07,nc,nc75071666,2024-10-07T15:47:14.200Z,"23 km WSW of Petrolia, CA",earthquake,1.82,0.879999995,0.12,7,automatic,nc,nc
2024-10-07T12:21:29.995Z,10.7725,-62.8594,105.585,5,mb,54,83,1.795,0.84,us,us6000nx1y,2024-10-07T17:54:15.036Z,"22 km N of Yaguaraparo, Venezuela",earthquake,9.48,7.326,0.027,447,reviewed,us,us
2024-10-07T12:13:09.376Z,-22.3116,-68.0412,185.627,4.1,ml,17,150,1.226,0.41,us,us6000nx1w,2024-10-08T05:44:38.040Z,"68 km NNE of San Pedro de Atacama, Chile",earthquake,9.62,6.633,,,reviewed,us,guc
2024-10-07T11:53:29.180Z,-24.1558,-67.4254,225.597,4,ml,13,150,2.21,0.69,us,us6000nx1u,2024-10-08T06:04:16.040Z,"112 km W of San Antonio de los Cobres, Argentina",earthquake,12.37,14.752,,,reviewed,us,guc
2024-10-07T10:21:41.900Z,18.9876666666667,-67.2045,15.21,3.06,md,7,314,0.5249,0.23,pr,pr71462013,2024-10-07T10:34:58.550Z,"55 km NNW of San Antonio, Puerto Rico",earthquake,1.17,1.73,0.143742176139569,5,reviewed,pr,pr
2024-10-07T09:36:58.060Z,-19.5916,169.0501,139.233,5.5,mww,54,86,3.358,0.73,us,us6000nx1e,2024-10-08T09:40:00.673Z,"24 km WSW of Isangel, Vanuatu",earthquake,10.13,6.724,0.066,22,reviewed,us,us
2024-10-07T08:33:18.524Z,34.7421,24.8803,10,4.3,mb,51,229,0.545,0.47,us,us6000nx18,2024-10-08T07:52:42.040Z,"34 km S of Moíres, Greece",earthquake,5.48,1.918,0.09,35,reviewed,us,us
2024-10-07T07:00:38.360Z,18.6601666666667,-65.259,77.37,3.38,md,20,206,0.3515,0.26,pr,pr71461983,2024-10-07T08:37:48.040Z,"39 km N of Culebra, Puerto Rico",earthquake,2.03,1.32,0.0258529395323501,9,reviewed,pr,pr
2024-10-07T06:59:58.410Z,45.2166666666667,-112.469166666667,4.43,2.78,ml,33,70,0.1713,0.15,mb,mb90063138,2024-10-08T03:32:01.199Z,"13 km E of Dillon, Montana",earthquake,0.25,1.3,0.22295450843373,45,reviewed,mb,mb
2024-10-07T06:54:30.633Z,45.2248,-112.4752,13.656,4.1,mb,69,35,0.162,0.57,us,us6000nx10,2024-10-08T13:19:07.387Z,"12 km E of Dillon, Montana",earthquake,2.14,6.738,0.101,27,reviewed,us,us
2024-10-07T06:30:11.600Z,18.2338333333333,-68.4495,56.74,3.36,md,5,211,0.2866,0.4,pr,pr71461963,2024-10-07T06:52:15.300Z,"23 km SE of Boca de Yuma, Dominican Republic",earthquake,11.61,6.07,0.11502388155652,3,reviewed,pr,pr
2024-10-07T06:18:46.515Z,38.2858,23.2711,10,4.7,mww,144,38,1.037,0.62,us,us6000nx0u,2024-10-07T07:36:15.040Z,"6 km SW of Thívai, Greece",earthquake,5.36,1.845,0.069,20,reviewed,us,us
2024-10-07T05:54:58.640Z,34.8624,26.2324,10,4.8,mb,101,149,1.18,0.41,us,us6000nx0t,2024-10-07T08:10:57.040Z,"37 km S of Palekastro, Greece",earthquake,5.65,1.734,0.056,97,reviewed,us,us
2024-10-07T05:51:17.399Z,-18.9802,-173.1591,10,5.3,mb,41,56,2.922,0.6,us,us6000nx0s,2024-10-07T06:10:04.040Z,"94 km ESE of Neiafu, Tonga",earthquake,6.64,1.864,0.101,33,reviewed,us,us
2024-10-07T05:49:56.451Z,-24.1135,-67.112,187.553,4.6,mb,42,56,2.485,1,us,us6000nx0r,2024-10-07T06:21:37.040Z,"81 km W of San Antonio de los Cobres, Argentina",earthquake,9.13,6.956,0.09,37,reviewed,us,us
2024-10-07T05:49:30.168Z,69.329,-144.6508,0,3.2,ml,,,,0.51,ak,ak024cwta957,2024-10-08T06:30:40.040Z,"97 km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-10-07T05:45:57.802Z,63.0171,-150.5907,111.3,2.6,ml,,,,0.48,ak,ak024cwt9ggv,2024-10-07T05:48:06.778Z,"58 km N of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-07T05:35:06.102Z,-24.1429,-67.0647,166.805,4.9,mww,80,55,2.512,1.1,us,us6000nx0l,2024-10-07T05:56:05.040Z,"76 km W of San Antonio de los Cobres, Argentina",earthquake,8.2,6.842,0.08,15,reviewed,us,us
2024-10-07T05:01:56.095Z,25.3194,142.6784,10,4.9,mb,46,117,1.824,0.82,us,us6000nx0h,2024-10-07T06:50:21.040Z,"Volcano Islands, Japan region",earthquake,8.42,1.556,0.094,36,reviewed,us,us
2024-10-07T04:38:15.411Z,12.3446,-86.8019,180.913,4.4,mb,31,146,0.575,0.76,us,us6000nx0g,2024-10-08T00:28:06.040Z,"13 km SE of León, Nicaragua",earthquake,8.94,2.782,0.179,9,reviewed,us,us
2024-10-07T04:35:36.036Z,69.232,-144.1477,0,2.8,ml,,,,1.17,ak,ak024cwslu0z,2024-10-08T00:02:49.040Z,"102 km S of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-07T04:30:34.770Z,19.6491666666667,-156.218333333333,14.24,2.52,ml,19,262,0.3623,0.18,hv,hv74490787,2024-10-07T23:44:34.040Z,"23 km W of Kailua-Kona, Hawaii",earthquake,1.16,31.61,0.206608284161821,7,reviewed,hv,hv
2024-10-07T04:28:12.142Z,40.2319,-119.6872,9,2.5,ml,18,67.41,0.071,0.1492,nn,nn00885655,2024-10-07T23:34:42.040Z,"32 km NNW of Sutcliffe, Nevada",earthquake,,1.3,0.32,9,reviewed,nn,nn
2024-10-07T04:10:23.947Z,69.1837,-144.7153,0.1,2.9,ml,,,,0.51,ak,ak024cwsgg6y,2024-10-07T23:22:30.040Z,"113 km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-07T03:45:49.356Z,51.8856,176.4087,129.388,3.5,ml,18,338,1.304,0.2,us,us6000nx3t,2024-10-07T23:15:25.040Z,"244 km ESE of Attu Station, Alaska",earthquake,14.03,15.639,,,reviewed,us,ak
2024-10-07T02:24:16.648Z,-3.7278,151.4494,10,4.6,mb,17,104,0.848,0.57,us,us6000nx0y,2024-10-07T23:07:28.040Z,"94 km WNW of Rabaul, Papua New Guinea",earthquake,7.69,1.9,0.141,15,reviewed,us,us
2024-10-07T01:11:05.810Z,18.8386669158936,-155.236663818359,10.1000003814697,2.5999999,md,24,269,0.3805,0.150000006,hv,hv74490637,2024-10-07T22:48:48.040Z,"44 km SE of Naalehu, Hawaii",earthquake,0.92,0.860000014,0.25,6,automatic,hv,hv
2024-10-07T01:00:10.073Z,6.825,125.8025,33.36,4.6,mb,20,118,0.329,0.82,us,us6000nwzw,2024-10-07T22:39:54.040Z,"11 km SSE of San Remigio, Philippines",earthquake,13.56,4.567,0.132,17,reviewed,us,us
2024-10-07T00:33:16.194Z,-33.5384,-178.01,10,5,mb,35,130,4.264,1.24,us,us6000nwzm,2024-10-07T00:56:18.040Z,"south of the Kermadec Islands",earthquake,11.06,1.89,0.103,30,reviewed,us,us
2024-10-07T00:32:55.379Z,-7.0603,103.259,10,4.2,mb,15,161,2.699,0.56,us,us6000nwzt,2024-10-07T01:03:28.040Z,"285 km SW of Bandar Lampung, Indonesia",earthquake,8.48,1.913,0.199,7,reviewed,us,us
2024-10-07T00:15:40.030Z,37.4831657409668,-118.845664978027,3.25,2.51,md,22,114,0.1075,0.03,nc,nc75071456,2024-10-07T04:13:49.156Z,"17 km WSW of Toms Place, CA",earthquake,0.47,1.23000002,0.22,31,automatic,nc,nc
2024-10-06T23:36:30.556Z,69.3768,-144.6177,7.2,3,ml,,,,0.7,ak,ak024cvgdxbq,2024-10-06T23:39:57.313Z,"92 km SSW of Kaktovik, Alaska",earthquake,,1.5,,,automatic,ak,ak
2024-10-06T22:57:19.894Z,58.6251,-156.1826,199.9,2.6,ml,,,,0.54,ak,ak024cvfwyzp,2024-10-06T23:11:08.040Z,"28 km ESE of King Salmon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-10-06T22:53:36.433Z,-6.3909,128.382,362.143,4.5,mb,22,74,2.396,0.62,us,us6000nwyt,2024-10-06T23:05:54.040Z,"280 km NNE of Lospalos, Timor Leste",earthquake,10.57,8.002,0.131,17,reviewed,us,us
2024-10-06T22:30:14.110Z,18.5143333333333,-66.3436666666667,44.17,3.06,md,23,189,0.1802,0.19,pr,pr71461953,2024-10-06T23:12:49.040Z,"5 km N of Brenas, Puerto Rico",earthquake,0.52,0.74,0.119539973857569,12,reviewed,pr,pr
2024-10-06T21:52:59.301Z,-13.5766,-111.1482,10,5.6,mww,102,110,13.587,0.92,us,us6000nwyj,2024-10-07T21:56:04.868Z,"central East Pacific Rise",earthquake,12.59,1.879,0.073,18,reviewed,us,us
2024-10-06T21:50:49.646Z,-20.7275,-174.2397,10,5,mb,24,108,0.931,0.77,us,us6000nwyi,2024-10-06T22:08:09.040Z,"97 km ENE of Kolonga, Tonga",earthquake,9.48,1.897,0.126,20,reviewed,us,us
2024-10-06T21:35:03.675Z,-33.4255,-178.474,10,4.9,mb,30,109,4.178,0.98,us,us6000nwyc,2024-10-06T21:51:54.040Z,"south of the Kermadec Islands",earthquake,10.09,1.908,0.122,21,reviewed,us,us
2024-10-06T20:40:19.924Z,-20.3142,-69.9777,56.507,3.9,mb,14,88,0.15,0.35,us,us6000nwxz,2024-10-07T16:44:01.051Z,"14 km ESE of Alto Hospicio, Chile",earthquake,5.65,5.559,0.512,1,reviewed,us,us
2024-10-06T20:04:07.172Z,-4.9771,102.8475,59.093,4.5,mb,40,99,0.622,0.73,us,us6000nwxw,2024-10-06T20:36:59.040Z,"114 km SSW of Pagar Alam, Indonesia",earthquake,8.14,7.072,0.108,25,reviewed,us,us
2024-10-06T19:20:10.950Z,65.3207,-147.776,25.5,2.7,ml,,,,0.95,ak,ak024cvdwpxj,2024-10-06T19:48:32.040Z,"41 km N of Fox, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-10-06T19:14:21.494Z,-15.9664,-74.5975,35,4.4,mb,28,152,4.515,0.95,us,us6000nwxl,2024-10-06T19:32:12.040Z,"31 km SW of Atiquipa, Peru",earthquake,5.77,1.925,0.112,23,reviewed,us,us
2024-10-06T18:40:28.800Z,37.2203,-114.9803,10.9,3,ml,17,93.17,0.195,0.1352,nn,nn00885633,2024-10-07T05:25:27.370Z,"22 km SE of Alamo, Nevada",earthquake,,3.6,0.57,12,reviewed,nn,nn
2024-10-06T18:19:53.418Z,17.3515,-98.314,42.204,4.1,mb,27,203,0.32,0.63,us,us6000nwxg,2024-10-06T20:05:49.535Z,"3 km SE of Tlahuapa, Mexico",earthquake,6.4,8.755,0.073,52,reviewed,us,us
2024-10-06T17:56:25.706Z,64.8464,-17.6755,10,5.1,mww,65,102,1.566,0.44,us,us6000nwxc,2024-10-06T18:23:45.040Z,"95 km SSE of Akureyri, Iceland",earthquake,9.81,1.9,0.052,36,reviewed,us,us
2024-10-06T17:20:32.193Z,60.8806,-141.4641,13.3,3.7,ml,,,,0.68,ak,ak024cvcpwds,2024-10-06T19:36:05.453Z,"99 km SE of McCarthy, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-10-06T17:20:03.210Z,38.6405,141.7572,57.641,4.6,mb,28,142,2.212,0.41,us,us6000nwx8,2024-10-06T17:38:09.040Z,"34 km NE of Onagawa Chō, Japan",earthquake,6.66,8.937,0.152,13,reviewed,us,us
2024-10-06T17:10:03.972Z,9.1287,40.3209,10,4.9,mb,67,74,3.445,0.48,us,us6000nwx4,2024-10-08T11:19:58.649Z,"23 km NE of Āwash, Ethiopia",earthquake,8.83,1.856,0.069,65,reviewed,us,us
2024-10-06T16:47:42.613Z,-17.7267,-178.1744,582.698,4.4,mb,23,96,3.596,0.51,us,us6000nwx2,2024-10-06T17:10:05.040Z,"268 km E of Levuka, Fiji",earthquake,13.46,15.05,0.123,19,reviewed,us,us
2024-10-06T15:57:26.260Z,18.6671666666667,-65.1955,59.52,3.21,md,13,221,0.3672,0.15,pr,pr71461933,2024-10-06T16:18:59.870Z,"41 km NNE of Culebra, Puerto Rico",earthquake,1.95,1.64,0.0683436291520987,4,reviewed,pr,pr
2024-10-06T15:41:51.096Z,58.7393,-153.2794,54.5,2.7,ml,,,,0.62,ak,ak024cvbnklw,2024-10-06T16:00:37.040Z,"78 km NNW of Aleneva, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-06T15:07:23.601Z,53.2185,-167.1107,48.174,4.3,mb,38,163,0.518,0.83,us,us6000nwws,2024-10-06T19:28:22.887Z,"82 km SSW of Unalaska, Alaska",earthquake,5.17,9.237,0.072,55,reviewed,us,us
2024-10-06T14:33:52.312Z,-17.7396,-178.4677,594.215,4.3,mb,16,123,3.316,0.46,us,us6000nwwl,2024-10-06T14:49:45.040Z,"237 km E of Levuka, Fiji",earthquake,19.63,12.559,0.153,12,reviewed,us,us
2024-10-06T13:00:58.349Z,-17.2115,171.6429,10,5.2,mww,39,75,6.14,0.54,us,us6000nwwa,2024-10-06T13:20:31.040Z,"Vanuatu region",earthquake,9.93,1.869,0.073,18,reviewed,us,us
2024-10-06T12:08:40.597Z,39.0052,25.8344,10,4.6,mb,26,48,0.837,0.91,us,us6000nww7,2024-10-07T07:28:56.784Z,"20 km SSW of Eresós, Greece",earthquake,4.88,1.884,0.165,11,reviewed,us,us
2024-10-06T11:08:56.917Z,53.2876,-167.0436,47.192,4.5,mwr,53,164,0.516,0.68,us,us6000nww1,2024-10-06T19:23:54.444Z,"73 km SSW of Unalaska, Alaska",earthquake,5.83,5.639,0.08,15,reviewed,us,us
2024-10-06T11:05:16.761Z,52.9501,153.5981,441.914,4.1,mb,65,165,3.054,0.48,us,us6000nww0,2024-10-06T11:56:03.040Z,"255 km NW of Ozernovskiy, Russia",earthquake,18.06,12.454,0.068,58,reviewed,us,us
2024-10-06T11:04:32.570Z,34.0196667,-117.596,6.61,2.51,ml,133,21,0.01644,0.17,ci,ci40752839,2024-10-07T19:36:28.270Z,"5 km SE of Ontario, CA",earthquake,0.09,0.25,0.169,24,reviewed,ci,ci
2024-10-06T10:51:08.410Z,34.0236667,-117.5923333,5.17,3.99,mw,183,12,0.01565,0.25,ci,ci40752807,2024-10-08T14:04:24.062Z,"5 km SE of Ontario, CA",earthquake,0.12,0.3,,6,reviewed,ci,ci
2024-10-06T10:19:13.621Z,-40.3183,176.5809,21.42,4.7,mb,35,79,0.442,1.22,us,us6000nwva,2024-10-07T01:45:01.878Z,"42 km ESE of Dannevirke, New Zealand",earthquake,3.85,4.315,0.167,13,reviewed,us,us
2024-10-06T10:06:10.693Z,42.2457,144.5047,35,4.4,mb,43,137,1.029,0.54,us,us6000nwv8,2024-10-07T02:05:45.040Z,"81 km S of Kushiro, Japan",earthquake,6.9,1.94,0.093,33,reviewed,us,us
2024-10-06T09:38:03.829Z,69.338,-144.9269,0,2.9,ml,,,,0.74,ak,ak024cv828ah,2024-10-06T12:54:39.040Z,"101 km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-06T08:34:13.638Z,53.3398,-167.0986,57.264,4.7,mb,48,163,0.473,0.96,us,us6000nwuu,2024-10-06T09:03:39.728Z,"70 km SSW of Unalaska, Alaska",earthquake,4.31,6.148,0.034,263,reviewed,us,us
2024-10-06T08:07:44.720Z,38.8333320617676,-122.814498901367,1.75999999046326,2.99,md,83,24,0.01051,0.09,nc,nc75071071,2024-10-06T20:35:43.425Z,"8 km NNW of The Geysers, CA",earthquake,0.12,0.170000002,0.12,100,automatic,nc,nc
2024-10-06T07:48:57.780Z,18.0305,-66.7666666666667,12.17,2.78,md,12,136,0.1531,0.14,pr,pr71461913,2024-10-06T08:06:24.260Z,"1 km N of Magas Arriba, Puerto Rico",earthquake,0.41,0.47,0.115538409682479,6,reviewed,pr,pr
2024-10-06T06:13:55.023Z,28.0963,139.7675,419.377,4.7,mb,106,31,2.365,0.66,us,us6000nwuh,2024-10-06T07:20:30.040Z,"Bonin Islands, Japan region",earthquake,10.14,7.696,0.026,462,reviewed,us,us
2024-10-06T06:08:19.468Z,38.3569,-115.7821,7.8,3.3,ml,13,131.07999999999998,0.713,0.1534,nn,nn00885594,2024-10-06T18:41:05.657Z,"79 km N of Rachel, Nevada",earthquake,,2.1,0.21,8,reviewed,nn,nn
2024-10-06T06:01:10.770Z,17.903,-66.8708333333333,12.21,2.86,md,7,200,0.1778,0.3,pr,pr71461898,2024-10-06T06:11:45.350Z,"8 km SSE of Guánica, Puerto Rico",earthquake,1.14,1.52,0.199023974365116,7,reviewed,pr,pr
2024-10-06T05:26:36.812Z,12.4167,123.6419,12.022,4.8,mb,46,127,5.646,0.66,us,us6000nwua,2024-10-06T06:06:17.040Z,"5 km NNE of Masbate, Philippines",earthquake,9.91,3.182,0.097,33,reviewed,us,us
2024-10-06T04:13:24.410Z,18.799,-64.3478333333333,21.62,3.42,md,7,321,0.4569,0.16,pr,pr71461883,2024-10-06T04:27:44.550Z,"69 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,1.86,14.67,0.0978950510217833,6,reviewed,pr,pr
2024-10-06T03:57:31.888Z,53.1106,-166.9331,25.6,4.1,ml,,,,0.65,ak,ak024cv4lrg5,2024-10-06T19:17:00.911Z,"89 km SSW of Unalaska, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2024-10-06T03:33:45.415Z,53.1145,-167.123,51.913,4.1,mb,47,165,0.559,0.7,us,us6000nwtw,2024-10-06T19:11:37.885Z,"93 km SSW of Unalaska, Alaska",earthquake,6.44,10.098,0.082,43,reviewed,us,us
2024-10-06T03:33:41.010Z,42.472,-108.91,34.59,2.54,ml,18,243,0.5619,0.2,uu,uu80084026,2024-10-08T05:18:13.026Z,"14 km W of Atlantic City, Wyoming",earthquake,2.13,31.61,0.469380687896367,2,reviewed,uu,uu
2024-10-06T03:26:57.751Z,-33.8077,-72.1083,23.688,4.5,mb,52,146,0.438,0.77,us,us6000nwtt,2024-10-06T03:50:47.040Z,"52 km WSW of San Antonio, Chile",earthquake,4.64,3.858,0.099,30,reviewed,us,us
2024-10-06T03:07:02.845Z,60.8946,-151.3288,119.9,3,ml,,,,0.9,ak,ak024cv4avwb,2024-10-06T03:09:26.084Z,"21 km SSW of Tyonek, Alaska",earthquake,,1.7,,,automatic,ak,ak
2024-10-06T02:56:53.287Z,51.6388,175.4597,57.119,4.5,mb,72,198,1.958,0.81,us,us6000nwtm,2024-10-06T03:19:14.040Z,"205 km SE of Attu Station, Alaska",earthquake,13.29,9.77,0.066,67,reviewed,us,us
2024-10-06T02:54:10.344Z,36.3994,70.4231,210.664,4.3,mb,30,252,2.017,1,us,us6000nwti,2024-10-06T03:34:15.040Z,"54 km ESE of Farkhār, Afghanistan",earthquake,11.07,11.638,0.201,7,reviewed,us,us
2024-10-06T01:33:52.402Z,69.361,-144.7655,0,3,ml,,,,0.67,ak,ak024cv39slq,2024-10-06T02:39:36.216Z,"96 km SSW of Kaktovik, Alaska",earthquake,,2.1,,,automatic,ak,ak
2024-10-06T01:28:31.160Z,17.8433333333333,-66.8598333333333,13.75,2.63,md,4,256,0.2158,0.08,pr,pr71461863,2024-10-06T01:41:59.630Z,"15 km SSE of Guánica, Puerto Rico",earthquake,1.11,0.61,0.103762197832058,4,reviewed,pr,pr
2024-10-06T00:25:57.740Z,36.1451667,-117.0811667,1.83,3.59,mw,27,125,0.302,0.16,ci,ci40752591,2024-10-07T00:29:26.346Z,"40 km SSW of Furnace Creek, CA",earthquake,0.3,0.9,,4,reviewed,ci,ci
2024-10-05T23:54:02.808Z,-2.0657,-80.5293,35,4.2,ml,13,289,0.98,0.62,us,us6000nwsi,2024-10-06T00:16:09.040Z,"40 km ENE of Santa Elena, Ecuador",earthquake,6.62,2.027,0.077,22,reviewed,us,us
2024-10-05T23:34:19.216Z,53.4293,-163.1907,32.948,3.8,mb,39,209,1.26,1.04,us,us6000nwst,2024-10-06T00:49:07.040Z,"159 km S of False Pass, Alaska",earthquake,6.24,13.211,0.193,7,reviewed,us,us
2024-10-05T23:14:50.420Z,17.905,-66.8625,10.19,2.85,md,8,198,0.1845,0.07,pr,pr71461848,2024-10-05T23:27:35.040Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,0.53,1.08,0.0160278804924101,4,reviewed,pr,pr
2024-10-05T23:02:00.488Z,-28.5736,-175.7417,34.954,5.1,mb,30,166,2.029,1.05,us,us6000nwsc,2024-10-05T23:18:39.040Z,"Kermadec Islands region",earthquake,12.16,7.898,0.11,27,reviewed,us,us
2024-10-05T21:47:59.320Z,38.5223350524902,-122.443832397461,8.72000026702881,2.58,md,72,51,0.09521,0.2,nc,nc75070886,2024-10-06T15:16:42.008Z,"3 km ENE of Saint Helena, CA",earthquake,0.23,0.75999999,0.1,53,automatic,nc,nc
2024-10-05T21:15:35.290Z,19.6541,-67.3896,15,3.55,md,8,237,1.5092,0.21,pr,pr2024279000,2024-10-05T22:43:19.338Z,"132 km NNW of San Antonio, Puerto Rico",earthquake,1.3,3.35,0.1,8,reviewed,pr,pr
2024-10-05T20:52:08.987Z,53.2052,-167.0581,51.993,4.4,mb,72,161,0.552,0.86,us,us6000nwss,2024-10-06T01:20:12.040Z,"82 km SSW of Unalaska, Alaska",earthquake,4.98,5.21,0.071,57,reviewed,us,us
